epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,814.694,1.083,1.72194,1.19462,0.64958,0.55517,0.59558,0.43283,1.04062,1.22634,1.0717,0.00333259,0.00333259,0.00333259
2,1590.57,1.13653,1.61665,1.21866,0.59748,0.48421,0.51462,0.3663,1.1526,1.45009,1.15742,0.00658343,0.00658343,0.00658343
3,2358.47,1.26665,1.90697,1.30534,0.50312,0.40529,0.40582,0.26974,1.34274,1.7709,1.29705,0.00975178,0.00975178,0.00975178
4,3123.52,1.32968,2.04098,1.35465,0.53979,0.43184,0.44478,0.3021,1.27372,1.65664,1.25978,0.00962875,0.00962875,0.00962875
5,3887.42,1.28201,1.92496,1.32805,0.55853,0.45471,0.47263,0.33058,1.22231,1.56438,1.22733,0.009505,0.009505,0.009505
6,4650.72,1.24079,1.83633,1.30733,0.59656,0.47999,0.51076,0.35877,1.18801,1.47189,1.20644,0.00938125,0.00938125,0.00938125
7,5413.06,1.21186,1.76545,1.2881,0.59766,0.4991,0.52533,0.37332,1.15055,1.41627,1.18086,0.0092575,0.0092575,0.0092575
8,6176.83,1.19211,1.71557,1.2778,0.6261,0.5107,0.54786,0.39346,1.12445,1.35723,1.16346,0.00913375,0.00913375,0.00913375
9,6938.32,1.17744,1.67626,1.26474,0.63831,0.52308,0.56388,0.40692,1.10629,1.31805,1.14982,0.00901,0.00901,0.00901
10,7700.43,1.16335,1.64159,1.25678,0.64436,0.53853,0.57801,0.41957,1.08721,1.27499,1.13967,0.00888625,0.00888625,0.00888625
11,8464.62,1.15501,1.6226,1.25172,0.66215,0.5388,0.58685,0.42874,1.06905,1.24944,1.12779,0.0087625,0.0087625,0.0087625
12,9227.85,1.14137,1.60069,1.24505,0.66711,0.55223,0.59992,0.43899,1.05419,1.21977,1.11948,0.00863875,0.00863875,0.00863875
13,9993.68,1.13423,1.57287,1.23934,0.67012,0.55771,0.60597,0.4456,1.04377,1.19996,1.10947,0.008515,0.008515,0.008515
14,10758.8,1.12385,1.55685,1.23383,0.67496,0.56212,0.61422,0.45413,1.02959,1.17322,1.10361,0.00839125,0.00839125,0.00839125
15,11523.5,1.11765,1.54275,1.23072,0.67916,0.57127,0.62189,0.46041,1.02169,1.15964,1.09927,0.0082675,0.0082675,0.0082675
16,12286.2,1.10329,1.51251,1.21955,0.69143,0.57224,0.62876,0.46699,1.01235,1.13953,1.09209,0.00814375,0.00814375,0.00814375
17,13047.8,1.10583,1.50542,1.21973,0.69205,0.57954,0.63495,0.47251,1.00426,1.12233,1.08692,0.00802,0.00802,0.00802
18,13809,1.09412,1.48754,1.21294,0.69459,0.58437,0.64013,0.47797,0.99666,1.10925,1.08212,0.00789625,0.00789625,0.00789625
19,14569.8,1.0907,1.47943,1.21,0.70108,0.58623,0.64374,0.48148,0.99009,1.09845,1.07783,0.0077725,0.0077725,0.0077725
20,15332.6,1.08826,1.46732,1.21011,0.70304,0.58835,0.64707,0.48465,0.98522,1.08909,1.07555,0.00764875,0.00764875,0.00764875
21,16095.5,1.08068,1.45427,1.20603,0.7058,0.59174,0.65105,0.48861,0.98015,1.07944,1.07244,0.007525,0.007525,0.007525
22,16857.8,1.07353,1.44001,1.19941,0.70919,0.59485,0.65485,0.49213,0.97479,1.06922,1.0687,0.00740125,0.00740125,0.00740125
23,17621.1,1.07476,1.42903,1.19853,0.7127,0.59731,0.65814,0.49535,0.97049,1.06135,1.06554,0.0072775,0.0072775,0.0072775
24,18381.7,1.06871,1.41883,1.19727,0.71504,0.59964,0.66071,0.49813,0.96719,1.05459,1.06311,0.00715375,0.00715375,0.00715375
25,19143.1,1.06403,1.41266,1.19597,0.71554,0.60179,0.66324,0.50038,0.96405,1.0483,1.06126,0.00703,0.00703,0.00703
26,19903.9,1.0626,1.40547,1.19048,0.71369,0.60555,0.6654,0.50251,0.96132,1.04259,1.05937,0.00690625,0.00690625,0.00690625
27,20668.6,1.05304,1.39066,1.18733,0.71461,0.60717,0.66723,0.50429,0.95848,1.03726,1.05745,0.0067825,0.0067825,0.0067825
28,21428.6,1.05519,1.39236,1.18814,0.71442,0.60943,0.66889,0.50609,0.9558,1.03239,1.05582,0.00665875,0.00665875,0.00665875
29,22193.1,1.05294,1.37894,1.18462,0.71734,0.60978,0.67049,0.50765,0.95367,1.02798,1.0544,0.006535,0.006535,0.006535
30,22955.3,1.04655,1.36974,1.17974,0.71885,0.61017,0.67191,0.50912,0.95198,1.02375,1.05305,0.00641125,0.00641125,0.00641125
31,23718.3,1.04102,1.35971,1.18048,0.7193,0.61138,0.67332,0.5107,0.94998,1.01997,1.05179,0.0062875,0.0062875,0.0062875
32,24481.9,1.04229,1.35695,1.17905,0.72163,0.61219,0.6748,0.51212,0.94787,1.01636,1.05044,0.00616375,0.00616375,0.00616375
33,25242.9,1.03318,1.346,1.17553,0.72205,0.61338,0.67617,0.51334,0.9463,1.01291,1.04941,0.00604,0.00604,0.00604
34,26003.3,1.03334,1.33663,1.17388,0.72295,0.61483,0.67757,0.51467,0.9444,1.00947,1.04814,0.00591625,0.00591625,0.00591625
35,26784.3,1.02957,1.33355,1.17231,0.7242,0.61558,0.67899,0.51589,0.94281,1.00623,1.04712,0.0057925,0.0057925,0.0057925
36,27541.1,1.02927,1.32296,1.16918,0.72479,0.61727,0.68049,0.51708,0.94115,1.00303,1.04605,0.00566875,0.00566875,0.00566875
37,28305.7,1.0249,1.31718,1.16844,0.72657,0.61763,0.68166,0.51819,0.93985,1.00012,1.04512,0.005545,0.005545,0.005545
38,29066.1,1.01608,1.30525,1.16196,0.72543,0.62007,0.68321,0.51937,0.93833,0.99692,1.04399,0.00542125,0.00542125,0.00542125
39,29827.5,1.01849,1.30013,1.16338,0.72714,0.6202,0.68452,0.52085,0.93664,0.99359,1.04278,0.0052975,0.0052975,0.0052975
40,30587.2,1.0183,1.30041,1.16399,0.72652,0.62275,0.68606,0.52212,0.9349,0.99004,1.04153,0.00517375,0.00517375,0.00517375
