epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,32831.7,1.04153,1.35158,1.17875,0.72528,0.61447,0.67905,0.51567,0.9433,1.00439,1.04936,0.007228,0.007228,0.007228
44,33638.5,1.04077,1.3483,1.17655,0.72721,0.61469,0.68015,0.51667,0.94231,1.00185,1.04849,0.007162,0.007162,0.007162
45,34431.2,1.03754,1.34619,1.1775,0.72843,0.61534,0.68113,0.51756,0.94091,0.99898,1.04743,0.007096,0.007096,0.007096
46,35202.7,1.04501,1.35139,1.179,0.72785,0.61718,0.68214,0.51855,0.93962,0.99656,1.04645,0.00703,0.00703,0.00703
47,35945.4,1.03578,1.33755,1.17517,0.73012,0.61776,0.68317,0.51945,0.93829,0.99386,1.04549,0.006964,0.006964,0.006964
48,36684.9,1.03785,1.32968,1.17459,0.73138,0.61859,0.68421,0.52049,0.93703,0.99112,1.04448,0.006898,0.006898,0.006898
49,37441,1.03728,1.33551,1.17332,0.73169,0.62001,0.68539,0.52164,0.93579,0.98826,1.04357,0.006832,0.006832,0.006832
50,38198,1.0322,1.32631,1.17377,0.73018,0.6221,0.68658,0.52263,0.93472,0.98549,1.04284,0.006766,0.006766,0.006766
51,38955.5,1.02648,1.32317,1.17008,0.73116,0.6232,0.6877,0.52375,0.93359,0.98279,1.04195,0.0067,0.0067,0.0067
52,39711.2,1.02768,1.31532,1.16615,0.7307,0.62502,0.68892,0.52493,0.9322,0.97988,1.04076,0.006634,0.006634,0.006634
53,40469.5,1.02789,1.30867,1.16906,0.73329,0.62503,0.69,0.52584,0.93105,0.97712,1.03985,0.006568,0.006568,0.006568
54,41225.9,1.02676,1.30986,1.16638,0.73495,0.62569,0.69108,0.52681,0.92981,0.97434,1.03887,0.006502,0.006502,0.006502
55,41984,1.02556,1.311,1.1636,0.73603,0.62685,0.6924,0.5279,0.92834,0.97171,1.03772,0.006436,0.006436,0.006436
56,42742.8,1.022,1.30584,1.16561,0.73762,0.62678,0.69356,0.52896,0.927,0.9688,1.03673,0.00637,0.00637,0.00637
57,43499.9,1.02187,1.30314,1.16556,0.73789,0.62827,0.69465,0.53002,0.9255,0.96539,1.03554,0.006304,0.006304,0.006304
58,44258.1,1.02012,1.29787,1.16288,0.73835,0.62939,0.69585,0.53111,0.92417,0.96246,1.0346,0.006238,0.006238,0.006238
59,45015.1,1.02057,1.29231,1.16229,0.73849,0.63103,0.69697,0.53235,0.92294,0.95948,1.03366,0.006172,0.006172,0.006172
60,45773,1.02038,1.29255,1.16079,0.73955,0.63185,0.69808,0.53339,0.92177,0.95662,1.0328,0.006106,0.006106,0.006106
61,46530.2,1.01937,1.28982,1.16136,0.74182,0.63156,0.69933,0.53449,0.9205,0.95359,1.03175,0.00604,0.00604,0.00604
62,47285.1,1.014,1.28956,1.15777,0.74053,0.63399,0.70054,0.53546,0.91935,0.95064,1.03082,0.005974,0.005974,0.005974
63,48040.9,1.01054,1.28131,1.15611,0.7422,0.63483,0.7017,0.5366,0.91815,0.9476,1.02991,0.005908,0.005908,0.005908
64,48796.3,1.01306,1.28201,1.15642,0.7424,0.63576,0.70271,0.53769,0.91692,0.94465,1.02885,0.005842,0.005842,0.005842
65,49552.3,1.01242,1.27791,1.15755,0.74404,0.63633,0.70398,0.53884,0.91568,0.94185,1.02777,0.005776,0.005776,0.005776
66,50309.2,1.00916,1.27026,1.15667,0.74531,0.63715,0.70501,0.53987,0.91434,0.93902,1.02678,0.00571,0.00571,0.00571
67,51051.8,1.01368,1.26871,1.15397,0.74508,0.6382,0.70624,0.54106,0.91296,0.93604,1.02556,0.005644,0.005644,0.005644
68,51792.3,1.00749,1.26784,1.15295,0.74625,0.63911,0.70753,0.54241,0.91192,0.9331,1.02466,0.005578,0.005578,0.005578
69,52532.3,1.00238,1.25825,1.15222,0.74621,0.64029,0.70872,0.54355,0.91079,0.93023,1.02377,0.005512,0.005512,0.005512
70,53273.6,0.99948,1.25867,1.15239,0.74657,0.64123,0.70991,0.54447,0.90949,0.92728,1.02278,0.005446,0.005446,0.005446
71,54012.7,1.00327,1.25191,1.15086,0.74778,0.64188,0.71102,0.54558,0.90813,0.92421,1.02176,0.00538,0.00538,0.00538
72,54752,1.0008,1.24954,1.15162,0.74815,0.64346,0.71212,0.54665,0.90686,0.92124,1.02084,0.005314,0.005314,0.005314
73,55492.2,1.00164,1.24903,1.1483,0.74949,0.64441,0.71319,0.54777,0.90553,0.91824,1.01975,0.005248,0.005248,0.005248
74,56231.6,0.99774,1.24501,1.14543,0.75065,0.64527,0.71434,0.54888,0.90418,0.91519,1.01858,0.005182,0.005182,0.005182
75,56971.4,0.998,1.23645,1.14722,0.75232,0.64562,0.7154,0.55,0.90297,0.91201,1.01768,0.005116,0.005116,0.005116
76,57709,0.99332,1.23655,1.14446,0.75451,0.64601,0.71668,0.55114,0.90178,0.90908,1.01666,0.00505,0.00505,0.00505
77,58445.2,0.99293,1.23294,1.14585,0.75594,0.6462,0.71762,0.55222,0.90055,0.90609,1.01572,0.004984,0.004984,0.004984
78,59182.1,0.99055,1.23213,1.14313,0.7583,0.6465,0.71857,0.55326,0.89937,0.90321,1.01489,0.004918,0.004918,0.004918
79,59919.6,0.9927,1.22817,1.14341,0.75856,0.64797,0.71981,0.55434,0.89824,0.90017,1.0141,0.004852,0.004852,0.004852
80,60656.8,0.98768,1.22102,1.13956,0.76067,0.64868,0.72117,0.55563,0.89702,0.89713,1.01309,0.004786,0.004786,0.004786
81,61393.8,0.98904,1.21911,1.14173,0.76167,0.64961,0.72227,0.55678,0.89583,0.89428,1.01219,0.00472,0.00472,0.00472
82,62130.7,0.98334,1.21018,1.13576,0.76355,0.65003,0.72354,0.55795,0.89471,0.89124,1.01129,0.004654,0.004654,0.004654
83,62868,0.98367,1.21181,1.13783,0.76262,0.65197,0.72482,0.55911,0.89352,0.8885,1.01027,0.004588,0.004588,0.004588
84,63603.4,0.98291,1.20802,1.13668,0.76497,0.6523,0.72594,0.56031,0.89234,0.88564,1.00927,0.004522,0.004522,0.004522
85,64340.7,0.98615,1.20973,1.13839,0.76539,0.65307,0.72695,0.56136,0.89119,0.88281,1.00835,0.004456,0.004456,0.004456
86,65078.2,0.9799,1.19993,1.135,0.76678,0.65385,0.72804,0.56248,0.89002,0.87998,1.00742,0.00439,0.00439,0.00439
87,65814.4,0.97663,1.19966,1.13449,0.76782,0.65469,0.7292,0.56367,0.88879,0.87725,1.00647,0.004324,0.004324,0.004324
88,66550.2,0.97966,1.19676,1.13352,0.76765,0.65657,0.73043,0.5649,0.88748,0.87427,1.0054,0.004258,0.004258,0.004258
89,67286.6,0.9772,1.19108,1.13278,0.77055,0.65607,0.73159,0.56605,0.88619,0.87108,1.00446,0.004192,0.004192,0.004192
90,68023.7,0.97314,1.18598,1.1319,0.77016,0.65734,0.73279,0.56718,0.88505,0.8681,1.00361,0.004126,0.004126,0.004126
91,68759.9,0.9696,1.18024,1.13044,0.77084,0.65889,0.73389,0.5683,0.88399,0.86513,1.00274,0.00406,0.00406,0.00406
92,69497.2,0.96984,1.17944,1.12883,0.77034,0.6604,0.73509,0.56944,0.8827,0.86218,1.00179,0.003994,0.003994,0.003994
93,70235.1,0.96986,1.17333,1.12864,0.77176,0.66135,0.73629,0.57068,0.88149,0.85937,1.0009,0.003928,0.003928,0.003928
94,70976.1,0.96968,1.16776,1.12828,0.77183,0.66292,0.73736,0.57174,0.88005,0.85651,0.99982,0.003862,0.003862,0.003862
95,71716.7,0.96499,1.16484,1.12634,0.77501,0.66291,0.73849,0.57293,0.8787,0.85362,0.99889,0.003796,0.003796,0.003796
96,72457.3,0.96391,1.16344,1.1242,0.77473,0.66469,0.73959,0.57401,0.87747,0.8506,0.99804,0.00373,0.00373,0.00373
97,73197.1,0.96795,1.16046,1.12534,0.7747,0.66606,0.74084,0.57513,0.87622,0.84769,0.99707,0.003664,0.003664,0.003664
98,73936.2,0.96009,1.15298,1.12145,0.77522,0.66756,0.74195,0.57638,0.87501,0.84466,0.99621,0.003598,0.003598,0.003598
99,74676.4,0.95829,1.1471,1.12188,0.77723,0.66831,0.74324,0.57763,0.87382,0.84172,0.99531,0.003532,0.003532,0.003532
100,75416.4,0.95487,1.14688,1.1185,0.77687,0.67083,0.74441,0.57885,0.87249,0.83878,0.99438,0.003466,0.003466,0.003466
101,76155.9,0.95068,1.1374,1.11829,0.77901,0.6712,0.74553,0.5801,0.87118,0.83566,0.99335,0.0034,0.0034,0.0034
102,76892.7,0.95248,1.13461,1.11679,0.7809,0.67203,0.74667,0.58119,0.86983,0.83283,0.99228,0.003334,0.003334,0.003334
103,77629.4,0.94736,1.12718,1.11725,0.7835,0.67195,0.74787,0.58235,0.86847,0.82998,0.99137,0.003268,0.003268,0.003268
104,78366.7,0.95043,1.13278,1.1146,0.78317,0.67353,0.74906,0.58349,0.86721,0.82698,0.99034,0.003202,0.003202,0.003202
105,79105,0.9459,1.12412,1.1129,0.78439,0.67481,0.75023,0.58471,0.86585,0.82395,0.98928,0.003136,0.003136,0.003136
106,79841,0.94308,1.11924,1.11272,0.78539,0.6756,0.75129,0.58595,0.86468,0.82103,0.98838,0.00307,0.00307,0.00307
107,80577.3,0.94153,1.11149,1.11111,0.78767,0.67607,0.75253,0.58713,0.86342,0.81781,0.98735,0.003004,0.003004,0.003004
108,81319.8,0.94415,1.10849,1.11109,0.78861,0.67644,0.7537,0.58835,0.8621,0.81475,0.98634,0.002938,0.002938,0.002938
109,82060.2,0.93868,1.1088,1.10951,0.78855,0.67773,0.75485,0.58951,0.86079,0.81167,0.98535,0.002872,0.002872,0.002872
110,82800,0.93966,1.10217,1.10852,0.78946,0.67947,0.75616,0.59086,0.85944,0.80861,0.9843,0.002806,0.002806,0.002806
111,83539.6,0.93538,1.09015,1.10727,0.79071,0.67998,0.75727,0.59199,0.85808,0.8054,0.98316,0.00274,0.00274,0.00274
112,84278.7,0.93251,1.08705,1.10342,0.79239,0.68022,0.75837,0.59322,0.85667,0.80227,0.98207,0.002674,0.002674,0.002674
113,85025.6,0.92744,1.0862,1.10399,0.79441,0.68122,0.75976,0.59452,0.85527,0.79912,0.98104,0.002608,0.002608,0.002608
114,85769.8,0.9295,1.0841,1.1025,0.79507,0.68271,0.76097,0.59574,0.85389,0.79599,0.97998,0.002542,0.002542,0.002542
115,86513.6,0.9257,1.07861,1.10162,0.79466,0.68492,0.76215,0.59699,0.85255,0.79288,0.97901,0.002476,0.002476,0.002476
116,87255.9,0.92842,1.07025,1.10294,0.79601,0.68561,0.76341,0.59832,0.85127,0.78981,0.97814,0.00241,0.00241,0.00241
117,87997.9,0.92388,1.06756,1.09976,0.7971,0.68686,0.76466,0.5996,0.84998,0.78675,0.97721,0.002344,0.002344,0.002344
118,88739.9,0.92083,1.06587,1.09966,0.79882,0.68765,0.76585,0.6009,0.84857,0.78366,0.97618,0.002278,0.002278,0.002278
119,89481.7,0.91673,1.04947,1.09509,0.80067,0.68823,0.7672,0.60234,0.8471,0.78054,0.97512,0.002212,0.002212,0.002212
120,90228.1,0.91209,1.04866,1.09435,0.80062,0.69018,0.76834,0.60361,0.84562,0.77729,0.97406,0.002146,0.002146,0.002146
121,90975.3,0.91629,1.04555,1.09366,0.80031,0.69257,0.7695,0.60481,0.84422,0.77417,0.97297,0.00208,0.00208,0.00208
122,91736.9,0.91754,1.04276,1.09424,0.80171,0.693,0.77071,0.60624,0.84279,0.77082,0.97193,0.002014,0.002014,0.002014
123,92503.7,0.91067,1.0348,1.09027,0.803,0.69445,0.77201,0.60757,0.84139,0.76772,0.97087,0.001948,0.001948,0.001948
124,93266.4,0.91064,1.03028,1.08976,0.8044,0.69551,0.77332,0.60887,0.83991,0.76453,0.96981,0.001882,0.001882,0.001882
125,94034.3,0.91064,1.02279,1.09026,0.80588,0.69666,0.77466,0.61017,0.83854,0.76138,0.96873,0.001816,0.001816,0.001816
126,94798,0.89947,1.01281,1.08395,0.80616,0.69833,0.77593,0.61163,0.83726,0.75799,0.96762,0.00175,0.00175,0.00175
127,95553.7,0.90237,1.01665,1.08794,0.80719,0.69932,0.77723,0.61286,0.83595,0.75472,0.96661,0.001684,0.001684,0.001684
128,96304.1,0.90062,1.00741,1.08513,0.80867,0.70031,0.77858,0.61424,0.83449,0.75127,0.96553,0.001618,0.001618,0.001618
129,97053.9,0.89924,0.99997,1.08346,0.81197,0.70017,0.77991,0.61552,0.83314,0.74809,0.96458,0.001552,0.001552,0.001552
130,97804.5,0.89273,0.99609,1.08159,0.81233,0.70188,0.78127,0.61694,0.83178,0.74489,0.96363,0.001486,0.001486,0.001486
131,98556.6,0.89049,0.99012,1.08005,0.81356,0.70274,0.78254,0.61825,0.8304,0.74173,0.96266,0.00142,0.00142,0.00142
132,99306.9,0.88541,0.98311,1.07839,0.81501,0.70356,0.78382,0.61961,0.82903,0.7387,0.96171,0.001354,0.001354,0.001354
133,100058,0.88432,0.97691,1.07659,0.81664,0.70476,0.78512,0.62093,0.82774,0.73562,0.9607,0.001288,0.001288,0.001288
