epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,799.819,1.083,1.72194,1.19462,0.64958,0.55517,0.59558,0.43283,1.04062,1.22634,1.0717,0.00333259,0.00333259,0.00333259
2,1561.42,1.13794,1.6209,1.21859,0.59352,0.48695,0.51156,0.35957,1.18212,1.45793,1.16753,0.00662193,0.00662193,0.00662193
3,2310.09,1.26966,1.90919,1.30815,0.51558,0.4101,0.41242,0.27394,1.34099,1.75807,1.29383,0.00986727,0.00986727,0.00986727
4,3059.87,1.33297,2.03886,1.3574,0.53288,0.4293,0.44281,0.30303,1.27781,1.67278,1.26852,0.009802,0.009802,0.009802
5,3804.24,1.28376,1.92962,1.3318,0.55863,0.45903,0.46603,0.32277,1.22048,1.56397,1.2283,0.009736,0.009736,0.009736
6,4550.31,1.24261,1.83937,1.30846,0.59436,0.48743,0.51071,0.358,1.18189,1.46499,1.20474,0.00967,0.00967,0.00967
7,5295.81,1.21535,1.7776,1.29419,0.61066,0.49897,0.52887,0.3748,1.15203,1.41452,1.19159,0.009604,0.009604,0.009604
8,6039.78,1.19512,1.73082,1.28268,0.62367,0.51226,0.54861,0.39384,1.12211,1.35817,1.16581,0.009538,0.009538,0.009538
9,6781.52,1.18111,1.6886,1.26948,0.63104,0.52423,0.56115,0.40522,1.10364,1.3225,1.15157,0.009472,0.009472,0.009472
10,7525.24,1.16889,1.65592,1.26158,0.64023,0.52994,0.57113,0.41517,1.09189,1.28557,1.141,0.009406,0.009406,0.009406
11,8269.74,1.1615,1.63774,1.25776,0.65568,0.53992,0.58689,0.42885,1.06904,1.25401,1.12994,0.00934,0.00934,0.00934
12,9012.98,1.14617,1.61256,1.24988,0.66575,0.54737,0.59725,0.43781,1.06007,1.22683,1.1249,0.009274,0.009274,0.009274
13,9756.24,1.14111,1.59154,1.24649,0.66474,0.55223,0.6007,0.4419,1.04822,1.20943,1.11593,0.009208,0.009208,0.009208
14,10498.5,1.1325,1.57654,1.24042,0.6754,0.55884,0.61017,0.45024,1.03655,1.18426,1.11078,0.009142,0.009142,0.009142
15,11242.7,1.12792,1.56203,1.23673,0.67914,0.56644,0.61738,0.4572,1.02677,1.16898,1.10235,0.009076,0.009076,0.009076
16,11985.6,1.11677,1.53886,1.23074,0.68447,0.56997,0.62447,0.46314,1.01834,1.1472,1.09832,0.00901,0.00901,0.00901
17,12729.1,1.11486,1.52683,1.22893,0.69003,0.57431,0.6305,0.4689,1.01021,1.13319,1.09409,0.008944,0.008944,0.008944
18,13482.6,1.10738,1.51652,1.22323,0.69318,0.57937,0.63505,0.47338,1.00279,1.12002,1.08922,0.008878,0.008878,0.008878
19,14253.6,1.10227,1.50259,1.21979,0.69389,0.58431,0.63899,0.47658,0.99679,1.10837,1.08479,0.008812,0.008812,0.008812
20,15036.4,1.10103,1.4952,1.21967,0.69484,0.58755,0.64265,0.48035,0.99197,1.09836,1.08184,0.008746,0.008746,0.008746
21,15847.9,1.09438,1.48303,1.21665,0.70227,0.58859,0.64687,0.48428,0.98731,1.09001,1.07824,0.00868,0.00868,0.00868
22,16619.4,1.08584,1.46947,1.21079,0.70313,0.59107,0.6489,0.48682,0.98398,1.08295,1.07657,0.008614,0.008614,0.008614
23,17393.1,1.0897,1.46366,1.20983,0.7067,0.59176,0.65162,0.48933,0.97966,1.07425,1.07367,0.008548,0.008548,0.008548
